Country,Month,Slope,R2,p
BX,11,0.2030511293979358,0.3020303797315448,9.227305075683351e-05
BX,12,0.25254539159432626,0.35849713112742837,1.394224410411088e-05
BY,1,0.055429080803958794,0.032845971918298286,0.3128020761486768
BY,2,-0.1876384550660457,0.03753388770275404,0.28803414140133177
BY,3,-0.7430700356584701,0.04259538755651205,0.23423727081359963
BY,4,-0.02657690051310044,0.03861116951554257,0.27308111699125437
BY,5,-0.02532076905745325,0.056889446976864134,0.17432100325080438
BY,6,0.04319326951874373,0.08241224392895383,0.0945075774307499
BY,7,0.002256162791326101,0.007164935130354247,0.6235436478687423
BY,8,0.05514137687145495,0.03233740271097535,0.3012833398106318
BY,9,0.007291703564397427,0.001622108558242946,0.8155916524415083
BY,10,0.0362303153478438,0.053592324953233815,0.19487814121047176
BY,11,-0.0163390989275699,0.0019999656513867738,0.7986521905334811
BY,12,0.044530903566263644,0.03393427947301151,0.2969871330659711
CA,1,0.011514647396193083,0.05588116450248464,0.0325036227135899
CA,2,0.008040106774515764,0.02241884860386074,0.17939392693976322
CA,3,0.007174728266791437,0.011366573719728218,0.33740346344003613
CA,4,0.009559060938788519,0.01689457188627123,0.24152497919781282
CA,5,0.01096277525541059,0.01646642746821308,0.24763100795665516
CA,6,0.017409646235491665,0.2908154800377494,1.439936141353093e-07
CA,7,0.013812858658148885,0.20341354693356464,1.8774032074203967e-05
CA,8,0.011516760776796076,0.12173637318644384,0.0012261722725646518
CA,9,0.011107564635677159,0.12087568204603498,0.001279670261450087
CA,10,0.012380114139526003,0.14228398985710822,0.00043944468840332473
CA,11,0.010790528884952274,0.09610556089070275,0.004343036131237344
CA,12,0.012840591163666887,0.15677449897840356,0.00021123548540686856
CB,1,-0.005127356183235752,0.25176981727354736,0.0005203675042587424
CB,2,-0.01147671278607679,0.08754851268175448,0.04844491067743421
CB,3,-0.011772815356905122,0.1773706323777365,0.00396392738256339
CB,4,-0.024134076175657132,0.26372454482833635,0.00030880515545370004
CB,5,-0.10295879051826747,0.4959536037699824,9.601932794602729e-08
CB,6,-0.09758578691005922,0.24288921420492954,0.0005830022261616172
CB,7,-0.09486951049320382,0.5552105444129425,6.594086854041104e-09
CB,8,-0.07540426593925746,0.3850293443553317,7.019979091797099e-06
CB,9,-0.10898252127582406,0.29422740029795325,0.0001716158986382221
CB,10,-0.07868187765769047,0.3378255746777042,4.3700291927295236e-05
CB,11,-0.028971347674291693,0.18046788932184057,0.004518724955806733
CB,12,-0.021969518081047603,0.20371551037321667,0.0023824911926817512
CD,1,-0.0017802046728255068,0.008527234710477623,0.5608120086308924
CD,2,-0.0009460685350067498,0.018080304517564764,0.3899740080274897
CD,3,0.0014548841245714465,0.012879576931313533,0.4742329614028188
CD,4,0.006727339302661752,0.023001204145409543,0.33767049948766437
CD,5,0.01559816380138451,0.03138456448157378,0.2617071362736559
CD,6,0.052244940650928114,0.2959253753647067,0.00016293766088409052
CD,7,0.10277943586000114,0.4092510744274763,3.864560362475704e-06
CD,8,0.08984098613659569,0.2663416032116209,0.00046811320556345903
CD,9,0.07539857769227863,0.34233106695196347,3.77703952207319e-05
CD,10,0.026823258757146504,0.15332033094381575,0.009415858264563667
CD,11,-8.310754636039376e-05,2.5859123818063395e-05,0.9741822718110517
CD,12,-0.0051190949089106345,0.06436733912956281,0.10066669461949988
CE,1,0.0388697195388318,0.11814493599709543,0.005812809023649784
CE,2,0.03955421093965226,0.18537428273552095,0.0005330801239969868
CE,3,0.04071208782715342,0.22449482270413942,0.00011479560679117974
CE,4,0.08312246709105356,0.3585632509295519,2.7329294267509464e-07
CE,5,0.08411249435983946,0.310813814457201,2.0717994907567162e-06
CE,6,0.044719744764989126,0.28902499842503426,6.612867061886265e-06
CE,7,0.02923326691186806,0.1407648728642636,0.002252360635518946
CE,8,0.0405832547795925,0.2914146690518704,4.156140132003335e-06
CE,9,0.07034236215607344,0.36146854212387153,2.3761216431610045e-07
CE,10,0.1255981257951252,0.35500495893705675,2.5828229884061067e-07
CE,11,0.12623599848282963,0.27470063228687364,1.0403909270660759e-05
CE,12,0.08431184134980635,0.1440178765071967,0.002158725054268441
CF,1,0.0004595206101017379,1.4254659460844157e-05,0.9799059338413043
CF,2,-0.00867331415446024,0.002081450869171189,0.7555891417858678
CF,3,-0.00782299539292335,0.001341909158936543,0.8026734196446442
CF,4,0.01996608723785809,0.026100765451377215,0.26742532208150444
CF,5,0.005851273352534442,0.001257423956337252,0.8088659098632662
CF,6,0.015053614377505407,0.03930993948843798,0.17673306116549337
CF,7,0.009937581642546066,0.029016451206980008,0.24705182120849084
CF,8,0.014468682315069068,0.03730622449941092,0.1884019014289172
CF,9,0.013654502261466903,0.01778835840156348,0.3609268695198069
CF,10,0.055714447957227284,0.23355261667419264,0.00043578349333743825
CF,11,-0.02443659301699202,0.015788541930359907,0.3947812980827624
CF,12,0.030021806158184908,0.08835684794784651,0.040194324370288956
CG,1,0.05370080470178493,0.03877522147870182,0.20564257613195572
CG,2,-0.07993582032724719,0.018087340769161242,0.3621072674149812
CG,3,-0.03570767940089815,0.029369647828945886,0.244152917297687
CG,4,-0.04700083823646419,0.0345398838715525,0.2059747675425614
CG,5,-0.02053218913769733,0.013501050320837836,0.44190024371480763
CG,6,-0.006506445980941174,0.006972198364423075,0.5725904568348682
CG,7,-0.009113927862475404,0.166005636614751,0.004475876598818012
CG,8,-0.016537406982792664,0.04055982382045704,0.16986583450552847
CG,9,-0.02523023551359878,0.0545368932229408,0.11414551586033136
CG,10,-0.06488573660375828,0.13688037803218844,0.010477786757349896
CG,11,-0.01696684027295494,0.0031161619706967943,0.7156967727830048
CG,12,0.03786412592388262,0.026466839543006215,0.2913697364200949
